id,lname,fname,mname,suffix,region,province,municipality,barangay,sitio,purok,house_number,sex,age,youth_with_needs,email,birth_month,birth_day,birth_year,contactnumber,civil_status,youth_classification,age_group,work_status,educational_background,register_sk_voter,voted_last_election,national_voter,attended_kk,times_attended_kk,no_why,date_created,barangay_code
,Williams,James,Carla,,CAR,BEN,La Trinidad,Tawang,a,1,17,Male,18,a,john80@hotmail.com,1,10,2006,+1-124-538-3865x5254,Divorced,Working Youth,Core Youth,Self-Employed,Doctorate Level,Not Registered,No,,No,,,2/9/2024,3
,Jones,Margaret,Robert,,CAR,BEN,La Trinidad,Tawang,,3,17,Male,28,,victoria82@brown.com,12,14,1996,(156)428-4910x043,Divorced,In School Youth,Young Adult,Currently looking for job,Vocational Graduate,Registered,Yes,,No,,,3/13/2024,4
,Kim,Katie,Yolanda,,CAR,BEN,La Trinidad,Tawang,,7,12,Male,25,,mooreleslie@schmitt-jimenez.biz,9,24,1999,423-227-9171x50653,Single,Out Of School Youth,Young Adult,Currently looking for job,High School Level,Registered,Yes,,No,,,4/19/2024,5
,Henderson,Johnathan,Charlene,,CAR,BEN,La Trinidad,Tawang,,3,4,Male,23,,rebeccabernard@ramirez.com,4,3,2001,396-800-7727x9648,Single,Working Youth,Core Youth,Employed,Vocational Graduate,Not Registered,No,,No,,,6/14/2024,6
,Perez,Ricardo,Michael,,CAR,BEN,La Trinidad,Tawang,,9,62,Male,21,,higginseugene@bautista-jones.net,12,20,2003,(234)602-5521x659,Single,Person With Disability (PWD),Core Youth,Unemployed,Elementary Graduate,Registered,No,,Yes,2,,1/11/2024,3
,Holder,Eric,Joanna,,CAR,BEN,La Trinidad,Tawang,,9,98,Male,22,,vterry@jones.com,1,24,2002,001-504-632-5612x9969,Single,Person With Disability (PWD),Core Youth,Student,College Graduate,Registered,No,,Yes,5,,2/27/2024,4
,Marshall,Gary,Martin,,CAR,BEN,La Trinidad,Tawang,,8,49,Female,19,,carpenterjoseph@yahoo.com,10,18,2005,233.586.8603,Single,Person With Disability (PWD),Core Youth,Employed,College Graduate,Registered,No,,Yes,2,,2/17/2024,5
,Jones,Brandon,Sarah,,CAR,BEN,La Trinidad,Tawang,,8,46,Female,28,,williampatton@chavez.com,11,9,1996,987.173.6228,Married,Person With Disability (PWD),Young Adult,Student,Master Graduate,Registered,Yes,,Yes,4,,3/5/2024,6
,Maynard,Erica,Joshua,,CAR,BEN,La Trinidad,Tawang,,9,57,Male,16,,kathleen87@hotmail.com,2,5,2008,973.553.4509x39552,Single,Person With Disability (PWD),Child Youth,Student,Elementary Graduate,Registered,Yes,,No,,,1/19/2024,7
,Scott,Bonnie,Shannon,,CAR,BEN,La Trinidad,Tawang,,8,34,Female,25,,hward@york-martin.org,4,28,1999,5345590189,Single,Working Youth,Young Adult,Currently looking for job,Vocational Graduate,Not Registered,Yes,,Yes,4,,3/11/2024,7
,Long,Martin,Mark,,CAR,BEN,La Trinidad,Tawang,,4,57,Female,19,,sheliamccullough@king.biz,10,13,2005,-4759,Divorced,Out Of School Youth,Core Youth,Unemployed,College Graduate,Not Registered,No,,Yes,3,,2/3/2024,8
,Lam,Tonya,Michelle,,CAR,BEN,La Trinidad,Tawang,,7,98,Female,28,,brandon38@yahoo.com,1,26,1996,179-115-9857x40867,Married,Person With Disability (PWD),Young Adult,Unemployed,College Graduate,Registered,Yes,,No,,,3/2/2024,9
,Martinez,Blake,Deborah,,CAR,BEN,La Trinidad,Tawang,,5,78,Male,20,,christine91@gardner.com,4,14,2004,001-817-755-9015x375,Married,Working Youth,Core Youth,Unemployed,High School Level,Registered,Yes,,Yes,4,,3/7/2024,3
,Martinez,Peggy,Bradley,,CAR,BEN,La Trinidad,Tawang,,3,14,Male,15,,griffinthomas@carter-gibson.com,6,25,2009,001-927-602-7872x84073,Divorced,Out Of School Youth,Child Youth,Employed,College Graduate,Not Registered,Yes,,Yes,2,,2/19/2024,4
,Little,Erin,Tonya,,CAR,BEN,La Trinidad,Tawang,,3,8,Male,22,,ronaldtrevino@hill.com,11,5,2002,001-539-497-6149x1067,Divorced,In School Youth,Core Youth,Self-Employed,College Graduate,Registered,Yes,,Yes,5,,6/8/2024,5
,Cunningham,Taylor,Timothy,,CAR,BEN,La Trinidad,Tawang,,2,9,Female,27,,xgeorge@webb-smith.com,10,15,1997,731-430-1687,Widowed,Working Youth,Young Adult,Unemployed,High School Graduate,Registered,No,,Yes,4,,1/4/2024,6
,Anderson,Michael,Tina,,CAR,BEN,La Trinidad,Tawang,,2,70,Female,25,,wnguyen@hotmail.com,6,16,1999,+1-845-094-9996x0250,Widowed,Out Of School Youth,Young Adult,Currently looking for job,Master Graduate,Registered,No,,No,,,7/8/2024,7
,Diaz,Bradley,Raymond,,CAR,BEN,La Trinidad,Tawang,,1,96,Male,24,,freemanryan@johnson.com,5,20,2000,(710)866-6768x340,Divorced,Working Youth,Core Youth,Employed,Master Level,Registered,Yes,,Yes,3,,2/27/2024,8
,Blevins,Jamie,Samantha,,CAR,BEN,La Trinidad,Tawang,,10,93,Female,23,,heatherlane@yahoo.com,9,12,2001,3490453794,Widowed,Out Of School Youth,Core Youth,Unemployed,High School Level,Not Registered,Yes,,Yes,4,,5/3/2024,9
,Murillo,Mary,Jennifer,,CAR,BEN,La Trinidad,Tawang,,1,37,Male,24,,xhorton@hotmail.com,7,6,2000,582.634.8896x7999,Widowed,In School Youth,Core Youth,Self-Employed,College Graduate,Registered,Yes,,Yes,4,,3/21/2024,10
,Medina,Lawrence,Danielle,,CAR,BEN,La Trinidad,Tawang,,6,22,Female,29,,jasongutierrez@trevino.com,2,12,1995,157-565-8649x90361,Single,Person With Disability (PWD),Young Adult,Unemployed,Master Graduate,Registered,Yes,,No,,,1/26/2024,11
,Hart,Valerie,Matthew,,CAR,BEN,La Trinidad,Tawang,,4,14,Female,18,,bryanmorgan@wilson-richardson.com,8,31,2006,610.092.0950x7554,Married,Out Of School Youth,Core Youth,Student,Elementary Level,Registered,No,,No,,,3/21/2024,12
